ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Số lượng tồn kho ít","Cho phép đặt trước?","Bán riêng?","Cân nặng (kg)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính toàn cục  1","Tên thuộc tính 2","Giá trị thuộc tính 2","Thuộc tính hiển thị 2","Thuộc tính toàn cục  2","Tên thuộc tính 3","Giá trị thuộc tính 3","Thuộc tính hiển thị 3","Thuộc tính toàn cục 3","Tên thuộc tính 4","Giá trị thuộc tính 4","Thuộc tính hiển thị 4","Thuộc tính toàn cục 4","Tên thuộc tính 5","Giá trị thuộc tính 5","Thuộc tính hiển thị 5","Thuộc tính toàn cục 5","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: _yoast_wpseo_wordproof_timestamp","Attribute 1 type","Attribute 1 swatch(s)","Attribute 2 type","Attribute 2 swatch(s)","Attribute 3 type","Attribute 3 swatch(s)","Attribute 4 type","Attribute 4 swatch(s)","Attribute 5 type","Attribute 5 swatch(s)","Meta: _last_editor_used_jetpack"
4066,variable,34498A,"Chuck Taylor All Star Slip",1,1,visible,,"JUST BEACHY. From the beach to the street. We've transformed our laidback legend, the Chuck Taylor All Star canvas sneaker—giving the iconic silhouette summer appeal with a slip-on design. The Chuck Taylor All Star Slip has those classic features, plus seasonal appeal. Easy on, easy off.",,,taxable,,1,,,0,0,,,,,1,,,,Men,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/164301c_a.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/164301c_c.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/164301c_e.jpg",,,,,,,,,0,"Màu sắc",White/Black/White,1,1,"Loại giày",Platform,0,1,"Màu chủ đạo",White,0,1,Giá,"Từ 1.000.000đ - 2.000.000đ",0,1,"Kích cỡ","M 3 / W 5, M 3.5 / W 5.5, M 4.5 / W 6.5, M 7.5 / W 9.5",1,1,,,,,label,,radio,,label,#f0f0f1,label,,label,", , , "
4078,variable,43940S,"Lugged Chuck Taylor All Star High Top",1,1,visible,,"LUGGED LEGEND. Get lifted in these lugged platform Chucks. The unmistakable features you know and love are all there – plus a tall, lugged sole for taking on any terrain.",,,taxable,,1,,,0,0,,,,,1,,,,Women,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/a03701c_a_107x1_1.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/a03701c_c_107x1_1-1.jpg",,,,,,,,,0,"Màu sắc",White/Black/Purple,1,1,"Loại giày","High Tops",0,1,"Màu chủ đạo",Purple,0,1,Giá,"Từ 1.000.000đ - 2.000.000đ",0,1,"Kích cỡ","W 5, W 6, W 8",1,1,59,90,1,,label,,radio,,label,#7733f7,label,,label,", , "
4134,variation,,"Chuck Taylor All Star Slip",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1204000,,,,,,,34498A,,,,,,1,"Màu sắc",,,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,variation,,"Lugged Chuck Taylor All Star High Top",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1548000,,,,,,,43940S,,,,,,1,"Màu sắc",,,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4152,variation,,"Lugged Chuck Taylor All Star High Top",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1548000,,,,,,,43940S,,,,,,1,"Màu sắc",,,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4325,variation,,"Chuck Taylor All Star Slip",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,1000000-2000.000,1204000,,,,,,,34498A,,,,,,1,"Màu sắc",,,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4328,variation,,"Lugged Chuck Taylor All Star High Top",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,1000000-2000.000,1548000,,,,,,,43940S,,,,,,1,"Màu sắc",,,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4405,variable,M3929C,"Chuck Taylor All Star High Top",1,1,visible,,"The Converse Chuck Taylor All Star is the one that started it all for Converse. When it comes to sneakers, there’s nothing more pure than a canvas upper and a vulcanized rubber sole. This is the sneaker that spawned countless imitators, with its star-centered patch, rubber toe cap, toe bumper and striping.",,,taxable,,1,,,0,0,,,,,1,,,,Women,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/m9622_a_107x1_2nd-20230528-064147.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m9622_b_107x1_2nd-20230528-064156.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m9622_d_107x1_2nd-20230528-064202.jpg",,,,,,,,,0,"Màu sắc",Navy,1,1,"Loại giày","High Tops",0,1,"Màu chủ đạo",Blue,0,1,Giá,"Từ 1.000.000đ - 2.000.000đ",0,1,"Kích cỡ","M 10 / W 12, M 10.5 / W 12.5, M 11 / W 13, M 11.5 / W 13.5, M 12 / W 14, M 13 / W 15, M 14 / W 16, M 15 / W 17, M 16 / W 18, M 17 / W 19, M 3 / W 5, M 3.5 / W 5.5, M 4 / W 6, M 4.5 / W 6.5, M 5 / W 7, M 5.5 / W 7.5, M 6.5 / W 8.5, M 7 / W 9, M 7.5 / W 9.5, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 9.5 / W 11.5",1,1,,,,,label,,radio,,label,#34b4fc,label,,label,", , , , , , , , , , , , , , , , , , , , , , "
4406,variable,M9403C,"Converse x Comme des Garçons PLAY Chuck 70 Low Top",1,1,visible,,"CONVERSE x COMME DES GARÇONS PLAY. The iconic partnership between Converse and Comme des Garçons has brought the brand’s conceptual vision to streets across the globe for over a decade—using the playful heart and eyes logo in distinct ways. This new release brings back the fan-favorite Comme des Garçons PLAY heart and eyes logo on a minimalist Chuck 70. Featured here in contrasting black on your choice of vivid blue or muted gray, the logo is instantly recognizable. It’s a bold twist on the premium design, but features the expertly-crafted Chuck 70 elements you know and love.",,,taxable,,1,,,0,0,,,,,1,,,,Men,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/150206c_008_9y_prem_1.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/150206c_008_d_prem_2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/150206c_008_e_prem_2.jpg",,,,,,,,,0,"Màu sắc","Steel Gray/Egret/Black",1,1,"Loại giày","Low Tops",0,1,"Màu chủ đạo",Black,0,1,Giá,"Trên 3.000.000đ",0,1,"Kích cỡ","M 10 / W 12, M 3 / W 5, M 3.5 / W 5.5, M 5.5 / W 7.5, M 6 / W 8, M 6.5 / W 8.5, M 7 / W 9, M 7.5 / W 9.5, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 9.5 / W 11.5",1,1,,,,,label,,radio,,label,#000000,label,,label,", , , , , , , , , , , "
4407,variable,83920C,"Converse x Comme des Garçons PLAY Chuck 70 Low Top",1,1,visible,,"CONVERSE x COMME DES GARÇONS PLAY. The iconic partnership between Converse and Comme des Garçons has brought the brand’s conceptual vision to streets across the globe for over a decade—using the playful heart and eyes logo in distinct ways. This new release brings back the fan-favorite Comme des Garçons PLAY heart and eyes logo on a minimalist Chuck 70. Featured here in contrasting black on your choice of vivid blue or muted gray, the logo is instantly recognizable. It’s a bold twist on the premium design, but features the expertly-crafted Chuck 70 elements you know and love.",,,taxable,,1,,,0,0,,,,,1,,,,Men,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/150207c_106_9y_prem.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/150207c_106_c_prem_4.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/150207c_106_d_prem_4.jpg",,,,,,,,,0,"Màu sắc","Milk/White/High Risk Red",1,1,"Loại giày","Low Tops",0,1,"Màu chủ đạo",White,0,1,Giá,"Trên 3.000.000đ",0,1,"Kích cỡ","M 10 / W 12, M 3 / W 5, M 3.5 / W 5.5, M 5.5 / W 7.5, M 6 / W 8, M 6.5 / W 8.5, M 7 / W 9, M 7.5 / W 9.5, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 9.5 / W 11.5",1,1,,,,,label,,radio,,label,#f0f0f1,label,,label,", , , , , , , , , , , "
